章节,单词,解释
Chapter-3 动物保护,impact,n. 影响 v. 对…有影响
Chapter-3 动物保护,seasonal,adj. 季节性的
Chapter-3 动物保护,experimental,adj. 实验的; 试验性的
Chapter-3 动物保护,favourable,adj. 给⼈好印象的; 有利的; 赞成的; 肯定的
Chapter-3 动物保护,productive,adj. 多产的; 富有成效的
Chapter-3 动物保护,effective,adj. 有效的; 实际的; 起作⽤的
Chapter-3 动物保护,efficient,adj. 效率⾼的
Chapter-3 动物保护,considerable,adj. 相当多的; 相当⼤的
Chapter-3 动物保护,massive,"adj. 巨⼤的, ⼤规模的, 庞⼤的"
Chapter-3 动物保护,immense,adj. 巨⼤的; 极⼤的
Chapter-3 动物保护,maximal,adj. 最⼤的
Chapter-3 动物保护,minimal,adj. 最⼩的; 极⼩的
Chapter-3 动物保护,optimal,adj. 最优的; 最佳的; 最理想的
Chapter-3 动物保护,biologist,n. ⽣物学家
Chapter-3 动物保护,zoologist,n. 动物学家
Chapter-3 动物保护,ecologist,n. ⽣态学家
Chapter-3 动物保护,botanist,n. 植物学家
Chapter-3 动物保护,mammal,n. 哺乳动物
Chapter-3 动物保护,primate,n. 灵⻓⽬动物
Chapter-3 动物保护,vertebrate,n. 脊椎动物
Chapter-3 动物保护,amphibian,n. 两栖动物; ⽔陆两⽤⻋ adj. 两栖动物的; ⽔陆两⽤⻋的
Chapter-3 动物保护,carnivore,n. ⻝⾁动物
Chapter-3 动物保护,herbivore,n. ⻝草动物
Chapter-3 动物保护,creature,"n. ⽣物, 动物"
Chapter-3 动物保护,wildlife,n. 野⽣动物; 野⽣⽣物
Chapter-3 动物保护,fauna,n. 动物群
Chapter-3 动物保护,flora,n. 植物群
Chapter-3 动物保护,species,n. [单复数同形]物种
Chapter-3 动物保护,flock,n. ⻦群; 兽群 v. 群聚; 蜂拥⽽⾄;
Chapter-3 动物保护,herd,n. 兽群; 畜群;
Chapter-3 动物保护,swarm,"n. 蜂群, ⼀⼤群, ⼈群"
Chapter-3 动物保护,throng,"n. ⼈群, ⼀⼤群⼈ v. 群集"
Chapter-3 动物保护,crowd,n. ⼈群; 观众; ⼀伙⼈
Chapter-3 动物保护,beast,n. 野兽; 性情凶残的⼈; 讨厌⻤;
Chapter-3 动物保护,brute,"n. 畜⽣, 兽; 粗野的⼈; 残暴的⼈;"
Chapter-3 动物保护,cruel,adj. 残酷的; 残忍的; 残暴的;
