序号,单词,音标,词性,中文释义,学段分类,场景归属
265,cancel,-,v.,取消；废除,中考考纲词汇,09_核心行为与动作动词
266,cancer,-,n.,癌,中考考纲词汇,08_职业工作与社会科技
267,candle,-,n.,蜡烛,中考考纲词汇,08_职业工作与社会科技
268,candy,-,n.,糖果,中考考纲词汇,03_饮食烹饪与健康医疗
269,cannon,-,n.,大炮，加农炮,中考考纲词汇,08_职业工作与社会科技
270,canoe,-,n.,独木舟,中考考纲词汇,08_职业工作与社会科技
271,canteen,-,n.,水壶；[英]食堂,中考考纲词汇,03_饮食烹饪与健康医疗
272,canvas,-,n.,帆布；油画布,中考考纲词汇,03_饮食烹饪与健康医疗
273,cap,-,n.,（有帽舌的）帽子；（经费等的）最高限额,中考考纲词汇,03_饮食烹饪与健康医疗
274,capable,-,adj.,有能力的；有才能的,中考考纲词汇,10_情感态度与性质修饰
275,captain,-,n.,船长；队长,中考考纲词汇,08_职业工作与社会科技
276,captive,-,n./adj.,俘虏；被关押的；收控制的,中考考纲词汇,10_情感态度与性质修饰
277,capture,-,n./v.,战利品/捕获，夺得,中考考纲词汇,09_核心行为与动作动词
278,career,-,n.,职业；事业；职业生涯,中考考纲词汇,08_职业工作与社会科技
279,careful,-,adj.,仔细地；细致的；小心的；谨慎的,中考考纲词汇,10_情感态度与性质修饰
280,careless,-,adj.,粗心的；无忧无虑的；淡漠的,中考考纲词汇,10_情感态度与性质修饰
281,carnivore,-,n.,肉食动物,中考考纲词汇,03_饮食烹饪与健康医疗
282,carpenter,-,n.,木匠,中考考纲词汇,08_职业工作与社会科技
283,carpet,-,n.,地毯,中考考纲词汇,08_职业工作与社会科技
284,carriage,-,n.,四轮马车；[英]（客运火车的）车厢,中考考纲词汇,06_交通出行与地理旅游
285,carrier,-,n.,航空母舰；运输工具,中考考纲词汇,04_文体娱乐与节庆风俗
286,carrot,-,n.,胡萝卜,中考考纲词汇,03_饮食烹饪与健康医疗
287,carry-on,-,n./adj.,（可随身携带上飞机的）小包/随身携带上飞机的,中考考纲词汇,06_交通出行与地理旅游
288,cart,-,n.,货运马车；手推车；购物车,中考考纲词汇,03_饮食烹饪与健康医疗
289,carve,-,v.,雕刻；切下,中考考纲词汇,09_核心行为与动作动词
290,cash,-,n./v.,现金/兑现（支票）,中考考纲词汇,05_居家生活与服装购物
291,cashier,-,n.,出纳员，收银员,中考考纲词汇,08_职业工作与社会科技
292,casino,-,n.,赌场,中考考纲词汇,08_职业工作与社会科技
293,cassette,-,n.,盒式磁带；底片盒,中考考纲词汇,08_职业工作与社会科技
294,castle,-,n.,城堡,中考考纲词汇,08_职业工作与社会科技
295,cataclysmic,-,adj.,剧变的；灾难的,中考考纲词汇,10_情感态度与性质修饰
296,catalyst,-,n.,催化剂；促进因素,中考考纲词汇,08_职业工作与社会科技
297,catastrophic,-,adj.,灾难性的,中考考纲词汇,10_情感态度与性质修饰
298,catch,-,v.,捉住；赶上；领会,中考考纲词汇,09_核心行为与动作动词
299,cattle,-,n.,牛,中考考纲词汇,07_自然生态与天气动植物
300,cause,-,n./v.,原因，理由，事业/引起；导致,中考考纲词汇,09_核心行为与动作动词
301,ceiling,-,n.,天花板、顶棚,中考考纲词汇,05_居家生活与服装购物
302,celebrate,-,v.,庆祝（节日、事件等）,中考考纲词汇,04_文体娱乐与节庆风俗
303,celebrity,-,n.,名人；名誉,中考考纲词汇,01_个人家庭与人际交往
304,celestial,-,adj.,天上的,中考考纲词汇,10_情感态度与性质修饰
305,cell,-,n.,蜂房巢室；细胞；单人牢房,中考考纲词汇,07_自然生态与天气动植物
306,cellar,-,n.,地窖、地下室,中考考纲词汇,08_职业工作与社会科技
307,cello,-,n.,大提琴,中考考纲词汇,04_文体娱乐与节庆风俗
308,celsius,-,adj./n.,摄氏的/摄氏温度,中考考纲词汇,07_自然生态与天气动植物
309,cement,-,n./v.,水泥；胶结剂；使黏结,中考考纲词汇,03_饮食烹饪与健康医疗
310,century,-,n.,世纪；百年,中考考纲词汇,08_职业工作与社会科技
311,certify,-,v.,证明；颁发专业合格证书,中考考纲词汇,02_学校教育与学科学习
312,chain,-,n.,一连串；连锁店,中考考纲词汇,08_职业工作与社会科技
313,challenge,-,n./v.,挑战/向...挑战,中考考纲词汇,09_核心行为与动作动词
314,champion,-,n./v.,冠军；第一名；拥护；支持,中考考纲词汇,04_文体娱乐与节庆风俗
315,chance,-,n.,机会；可能性,中考考纲词汇,08_职业工作与社会科技
316,chancellor,-,n.,（德国或奥地利的）总理；（英国）财政大臣,中考考纲词汇,08_职业工作与社会科技
317,change,-,n.,改变,中考考纲词汇,08_职业工作与社会科技
318,channel,-,n.,频道；航道；海峡,中考考纲词汇,06_交通出行与地理旅游
319,chapter,-,n.,（书的）章；（人生或历史的）重要时刻,中考考纲词汇,02_学校教育与学科学习
320,character,-,n.,性格；特征；人物；角色,中考考纲词汇,05_居家生活与服装购物
321,charcoal,-,n.,木炭,中考考纲词汇,08_职业工作与社会科技
322,charming,-,adj.,迷人的,中考考纲词汇,01_个人家庭与人际交往
323,chart,-,n.,图；图表；海图,中考考纲词汇,08_职业工作与社会科技
